Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
DC1076,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1076,,
DC1077,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1077,,
DC1078,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1078,,
DC1079,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1079,,
DC108,Kalividambanam And Sabaranjanasatakam,Dr.S.Srinivasa Sarma And Prof C.R.Anantharaman,,,NA,R14,G,OC,,DC,108,,
DC1080,Vivekananda: His Call To The Nation,Swami Vivekananda,R K Mutt,,NA,R14,G,OC,,DC,1080,,
DC1081,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1081,,
DC1082,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1082,,
DC1083,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1083,,
DC1084,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1084,,
DC1085,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1085,,
DC1086,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1086,,
DC1087,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1087,,
DC1088,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1088,,
DC1089,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1089,,
DC109,Kalividambanam And Sabaranjanasatakam,Dr.S.Srinivasa Sarma And Prof C.R.Anantharaman,,,NA,R14,G,OC,,DC,109,,
DC1090,Natya Rasangal,K Prasanth,Poongodi Padipagam,,NA,R14,G,OC,,DC,1090,,
DC1091,Kridanta Rupa Nandini,Janardana Hegde,Samskrita Bharati,,NA,R14,G,OC,,DC,1091,,
DC1092,Sandhi,Mahabaleshwara Bhatta,Samskrita Bharati,,NA,R14,G,OC,,DC,1092,,
DC1093,Shatrushanajanta Manjari,,Samskrita Bharati,,NA,R14,G,OC,,DC,1093,,
DC1094,Dhatu Rupa Nandini,Janardana Hegde,Samskrita Bharati,,NA,R14,G,OC,,DC,1094,,
DC1095,Vibhakti Vallari,,Samskrita Bharati,,NA,R14,G,OC,,DC,1095,,
DC1096,Natva Nijantam,Janardana Hegde,Samskrita Bharati,,NA,R14,G,OC,,DC,1096,,
DC1097,Rupa Shuddhi,Janardana Hegde,Samskrita Bharati,,NA,R14,G,OC,,DC,1097,,
DC1098,Essentials of English Language and Communication (Level 1 and Level 2) - A Handbook of Soft Skills ,Joyce Pereira,Samskrita Bharati,,NA,R14,G,OC,,DC,1098,,
DC1099,Lalitabodhini,,Samskrita Bharati,,NA,R14,G,OC,,DC,1099,,
DC11,Svapnavasavadattam,T.K.Ramachandra Aiyar,,,NA,R14,G,OC,,DC,11,,
DC110,Sri Mukundamala,Dr.Annathor Vasudevachari,,,NA,R14,G,OC,,DC,110,,
DC1100,Chitramaya Padakosha ,,Samskrita Bharati,,NA,R14,G,OC,,DC,1100,,
DC1101,Abhyasa Pustakam,Vishvasa,Samskrita Bharati,,NA,R14,G,OC,,DC,1101,,
DC1102,Inter-Collegeiate Students Seminar on Technical Literature in Sanskrit,,"Department of Sanskrit, RKMVC",,NA,R14,G,OC,,DC,1102,,
DC1103,Inter-Collegeiate Students Seminar on Technical Literature in Sanskrit,,"Department of Sanskrit, RKMVC",,NA,R14,G,OC,,DC,1103,,
DC1104,Inter-Collegeiate Students Seminar on Technical Literature in Sanskrit,,"Department of Sanskrit, RKMVC",,NA,R14,G,OC,,DC,1104,,
DC111,Sri Mukundamala,Dr.Annathor Vasudevachari,,,NA,R14,G,OC,,DC,111,,
DC112,Panchtantram,Dr. K  Leela,,,NA,R14,G,OC,,DC,112,,
DC113,Champu Ramayana of Bhoja Raja,Ramachandra Bhudendrae,,,NA,R14,G,OC,,DC,113,,
DC114,Rama Carita Manas(Tamil) - Tulasi Ramayanam,Lakshmanasuri Goswamy Thulasidas,,,NA,R14,G,OC,,DC,114,,
DC115,Sundara Kanda,Lakshmanasuri Goswamy Thulasidas,,,NA,R14,G,OC,,DC,115,,
DC116,Sundara Kanda,Lakshmanasuri Goswamy Thulasidas,,,NA,R14,G,OC,,DC,116,,
DC117,Amara Bharathi Magazine,,,,NA,R14,G,OC,,DC,117,,
DC118,Veni Samharam,Dr.G.V.Devasthali,,,NA,R14,G,OC,,DC,118,,
DC119,Naganandanam,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,119,,
DC12,Svapnavasavadattam,T.K.Ramachandra Aiyar,,,NA,R14,G,OC,,DC,12,,
DC120,Champu Ramayanam,Acrarya Ramachandra Misra,,,NA,R14,G,OC,,DC,120,,
DC121,Champu Ramayanam,Unknown,,,NA,R14,D,OC,,DC,121,,
DC122,Srimat Valmiki Ramayanam,P.S.Krishnaswamy Iyer,,,NA,R14,G,OC,,DC,122,,
DC123,Dvamsa Mahakavyam,Sribrahmasanga Misra,,,NA,R14,G,OC,,DC,123,,
DC124,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,124,,
DC125,Pancatantra of Visnusarman,M.R.Kale,,,NA,R14,G,OC,,DC,125,,
DC126,Panchtantram,Dr.Goguldas Gupta,,,NA,R14,G,OC,,DC,126,,
DC127,Srimad Bhagavad Gita,Swami Videswarananda,,,NA,R14,G,OC,,DC,127,,
DC128,Vairagya Shatakam,Swami Madhavananda,,,NA,R14,G,OC,,DC,128,,
DC129,Vairagya Shatakam,Swami Madhavananda,,,NA,R14,G,OC,,DC,129,,
DC13,Svapnavasavadattam,T.K.Ramachandra Aiyar,,,NA,R14,G,OC,,DC,13,,
DC130,Tarkasamgraha,Pandit Ramachandra Jha,,,NA,R14,G,OC,,DC,130,,
DC131,Vairagya Shatakam of Bhartrhari,Swami Madhavananda,,,NA,R14,G,OC,,DC,131,,
DC132,Neethi Shatakam,Dr.Gangasahararaya,,,NA,R14,G,OC,,DC,132,,
DC133,Neethi Shatakam,Janardhan Sastri Padeya,,,NA,R14,G,OC,,DC,133,,
DC134,Neethi Shatakam,Sri Krishnamani Tripadi,,,NA,R14,G,OC,,DC,134,,
DC135,Raghuvamsa of Kalidasa,Dr.M.Narasimhachary,,,NA,R14,G,OC,,DC,135,,
DC136,Raghuvamsa of Kalidasa,Dr.M.Narasimhachary,,,NA,R14,G,OC,,DC,136,,
DC137,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,137,,
DC138,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,138,,
DC139,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,139,,
DC14,Svapnavasavadattam,T.K.Ramachandra Aiyar,,,NA,R14,G,OC,,DC,14,,
DC140,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,140,,
DC141,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,141,,
DC142,Raghuvamsa of Kalidasa,V.S.Venkataraghavachariar,,,NA,R14,G,OC,,DC,142,,
DC143,Catussutri - A Study,V.R.Ganesan,,,NA,R14,G,OC,,DC,143,,
DC144,Kumarasambhava Mahakavyam of Kalidasa,Shosharajasarma Regme,,,NA,R14,G,OC,,DC,144,,
DC145,Raghuvamsa of Kalidasa,C.Sankara Rama Sastri,,,NA,R14,G,OC,,DC,145,,
DC146,Raghuvamsa Mahakavya,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,146,,
DC147,Kumarasambhavam Mahakavyam - Canto 4,Shosharajasarma Regme,,,NA,R14,G,OC,,DC,147,,
DC148,Kumarasambhavam Mahakavyam - Canto 4,Shosharajasarma Regme,,,NA,R14,G,OC,,DC,148,,
DC149,Kumarasambhavam Mahakavyam - Canto 4,Shosharajasarma Regme,,,NA,R14,G,OC,,DC,149,,
DC15,Svapnavasavadhanam,Balagovinda Jha,,,NA,R14,G,OC,,DC,15,,
DC150,Chandraloka - Alankaras,Sankara Rama Sastri,,,NA,R14,G,OC,,DC,150,,
DC151,Megha Sandesa,Unknown,,,NA,R14,G,OC,,DC,151,,
DC152,Karnabharam of Bhasa,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,152,,
DC153,Shishubalavadha Mahakavyam,Gyanartha Sastri Pandeya,,,NA,R14,G,OC,,DC,153,,
DC154,Madhyama Vyayoga of Bhasa,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,154,,
DC155,Madhyama Vyayoga of Bhasa,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,155,,
DC156,Shishubalavadha Mahakavyam,Gyanartha Sastri Pandeya,,,NA,R14,G,OC,,DC,156,,
DC157,Kumarasambhavam,Parameshwardina Pandeya,,,NA,R14,G,OC,,DC,157,,
DC158,Shishubalavadha Canto 1,T.K.Ramchandra Aiyyar,,,NA,R14,G,OC,,DC,158,,
DC159,Kumarasambhava Mahakavyam,Dr. Prabhunatha Trivedi,,,NA,R14,G,OC,,DC,159,,
DC16,Sri Vishnu Sahasranama,Swami Tapasyananda,,,NA,R14,G,OC,,DC,16,,
DC160,Hamsa Sandesa,Sri Lakshmi Prapnna Sarma,,,NA,R14,G,OC,,DC,160,,
DC161,India,Swami Vivekananda,,,NA,R14,G,OC,,DC,161,,
DC162,Naisadeeya Charitham,Shosharajasarma Regme,,,NA,R14,G,OC,,DC,162,,
DC163,Brahmasutra Vrtti,Sadasivendra Saraswati,,,NA,R14,G,OC,,DC,163,,
DC164,Naidhadha - Part 1 - Sarga 1-5,Mallinatha,,,NA,R14,-,-,,DC,164,Given to rr sir for main library replacement,
DC165,Ratnavali,P.V.Ramanujaswami,,,NA,R14,G,OC,,DC,165,,
